Local Issue ID,Issue key,Issue ID,Status,Logical Workflow State,Assignee,Sprint,Updated
EPIC-001,BAT-1,24141,To Do,DONE,,,2026-08-09T00:40:09.801-0500
EPIC-002,BAT-2,24142,To Do,DONE,,,2026-08-09T00:40:09.641-0500
EPIC-003,BAT-3,24143,To Do,DONE,,,2026-08-09T00:40:09.659-0500
EPIC-004,BAT-4,24144,To Do,DONE,,,2026-08-09T00:40:09.683-0500
EPIC-005,BAT-5,24145,To Do,DONE,,,2026-08-09T00:40:10.370-0500
EPIC-006,BAT-6,24146,To Do,DONE,,,2026-08-09T00:40:10.664-0500
EPIC-007,BAT-7,24147,To Do,DONE,,,2026-08-09T00:40:10.610-0500
EPIC-008,BAT-8,24148,To Do,DONE,,,2026-08-09T00:40:10.629-0500
EPIC-009,BAT-9,24149,To Do,DONE,,,2026-08-09T00:40:11.243-0500
EPIC-010,BAT-10,24150,To Do,DONE,,,2026-08-09T00:40:11.607-0500
EPIC-011,BAT-11,24151,To Do,DONE,,,2026-08-09T00:40:11.473-0500
EPIC-012,BAT-12,24152,To Do,DONE,,,2026-08-09T00:40:11.613-0500
EPIC-013,BAT-13,24153,To Do,DONE,,,2026-08-09T00:40:12.084-0500
EPIC-014,BAT-14,24154,To Do,DONE,,,2026-08-09T00:40:12.230-0500
EPIC-015,BAT-15,24155,To Do,DONE,,,2026-08-09T00:40:12.474-0500
EPIC-016,BAT-16,24156,To Do,DONE,,,2026-08-09T00:40:12.411-0500
EPIC-017,BAT-17,24157,To Do,DONE,,,2026-08-09T00:40:12.932-0500
EPIC-018,BAT-18,24158,To Do,DONE,,,2026-08-09T00:40:13.030-0500
EPIC-019,BAT-19,24159,To Do,DONE,,,2026-08-09T00:40:13.176-0500
EPIC-020,BAT-20,24160,To Do,DONE,,,2026-08-09T00:40:13.357-0500
EPIC-021,BAT-21,24161,To Do,DONE,,,2026-08-09T00:40:13.685-0500
EPIC-022,BAT-22,24162,To Do,DONE,,,2026-08-09T00:40:13.798-0500
EPIC-023,BAT-23,24163,To Do,DONE,,,2026-08-09T00:40:13.934-0500
EPIC-024,BAT-24,24164,To Do,DONE,,,2026-08-09T00:40:14.337-0500
EPIC-025,BAT-25,24165,To Do,DONE,,,2026-08-09T00:40:14.519-0500
EPIC-026,BAT-26,24166,To Do,DONE,,,2026-08-09T00:40:14.621-0500
EPIC-027,BAT-27,24167,To Do,DONE,,,2026-08-09T00:40:14.712-0500
EPIC-028,BAT-28,24168,To Do,BLOCKED,,,2026-08-09T00:04:54.323-0500
EPIC-029,BAT-29,24169,To Do,DEFERRED,,,2026-08-09T00:04:54.392-0500
EPIC-030,BAT-30,24170,To Do,DEFERRED,,,2026-08-09T00:04:54.429-0500
EPIC-031,BAT-31,24171,To Do,DONE,,,2026-08-09T00:40:15.105-0500
EPIC-032,BAT-32,24172,To Do,DONE,,,2026-08-09T00:40:15.488-0500
EPIC-033,BAT-33,24173,To Do,DONE,,,2026-08-09T00:40:15.432-0500
POST-EPIC-001,BAT-34,24174,To Do,BACKLOG,,,2026-08-08T23:36:53.758-0500
POST-EPIC-002,BAT-35,24175,To Do,BACKLOG,,,2026-08-08T23:36:54.342-0500
POST-EPIC-003,BAT-36,24176,To Do,BACKLOG,,,2026-08-09T00:03:27.230-0500
POST-EPIC-004,BAT-37,24177,To Do,BACKLOG,,,2026-08-09T00:03:31.956-0500
POST-EPIC-005,BAT-38,24178,To Do,BACKLOG,,,2026-08-09T00:03:34.609-0500
POST-EPIC-006,BAT-39,24179,To Do,BACKLOG,,,2026-08-09T00:03:36.164-0500
POST-EPIC-007,BAT-40,24180,To Do,BACKLOG,,,2026-08-09T00:03:36.416-0500
POST-EPIC-008,BAT-41,24181,To Do,BACKLOG,,,2026-08-09T00:03:42.833-0500
POST-EPIC-009,BAT-42,24182,To Do,BACKLOG,,,2026-08-09T00:03:48.494-0500
POST-EPIC-010,BAT-43,24183,To Do,BACKLOG,,,2026-08-09T00:03:51.282-0500
POST-EPIC-011,BAT-44,24184,To Do,BACKLOG,,,2026-08-09T00:03:53.641-0500
POST-EPIC-012,BAT-45,24185,To Do,BACKLOG,,,2026-08-09T00:03:58.952-0500
POST-EPIC-013,BAT-46,24186,To Do,BACKLOG,,,2026-08-09T00:04:01.169-0500
POST-EPIC-014,BAT-47,24187,To Do,BACKLOG,,,2026-08-09T00:03:27.359-0500
POST-EPIC-015,BAT-48,24188,To Do,BACKLOG,,,2026-08-09T00:04:07.742-0500
POST-EPIC-016,BAT-49,24189,To Do,DEFERRED,,,2026-08-09T00:04:10.097-0500
POST-EPIC-017,BAT-50,24190,To Do,DEFERRED,,,2026-08-09T00:04:10.192-0500
POST-STORY-001,BAT-51,24191,To Do,BACKLOG,,,2026-08-08T23:38:10.751-0500
